Timestamp,Merchant,Amount,Description,Location,Category,Account
2025-04-02 14:23:45,Zara,-89.99,Clothing,Amsterdam,personal,Main Checking
2025-04-10 18:45:12,Bioscoop,-15.5,Movie Ticket,Rotterdam,entertainment,Main Checking
2025-04-15 12:00:00,Albert Heijn,-45.3,Groceries,Utrecht,groceries,Main Checking
2025-04-20 09:30:25,Spotify,-9.99,Music Subscription,Amsterdam,subscriptions,Main Checking
2025-05-01 20:15:35,Airbnb,-150.0,Weekend Getaway,The Hague,entertainment,Main Checking
2025-05-05 11:12:01,H&M,-55.75,Fashion,Amsterdam,personal,Main Checking
2025-05-12 17:30:00,Kruidvat,-25.5,Health Products,Groningen,health,Main Checking
2025-06-01 13:45:00,De Bijenkorf,-120.0,Luxury Purchase,Amsterdam,personal,Main Checking
2025-06-15 10:00:00,Bol.com,-30.99,Books,Eindhoven,others,Main Checking
2025-06-25 19:30:00,Dinner,-75.0,Dining Out,Amsterdam,food,Main Checking
2025-04-05 14:23:45,Zara,-89.99,Clothing purchase,Amsterdam,personal,Sofia's Spending
2025-04-12 18:45:30,Starbucks,-4.75,Coffee run,Rotterdam,food,Sofia's Spending
2025-04-20 20:15:00,Airbnb,-250.0,Weekend getaway,Utrecht,entertainment,Sofia's Spending
2025-05-02 10:05:20,Albert Heijn,-45.3,Grocery shopping,The Hague,groceries,Sofia's Spending
2025-05-15 16:05:10,Spotify,-9.99,Monthly subscription,Amsterdam,subscriptions,Sofia's Spending
2025-05-22 11:30:00,H&M,-67.5,Fashion spree,Eindhoven,personal,Sofia's Spending
2025-06-01 13:00:00,KFC,-15.5,Fast food,Amsterdam,food,Sofia's Spending
2025-06-10 19:30:00,Cinema,-12.0,Movie night,Utrecht,entertainment,Sofia's Spending
2025-06-15 09:00:00,Vitamins Shop,-25.5,Health supplements,Rotterdam,health,Sofia's Spending
2025-06-28 21:00:00,Travel Agency,-500.0,Summer vacation,Amsterdam,others,Sofia's Spending
2025-04-02 14:35:12,Zara,-125.5,New clothes,Amsterdam,personal,Spontaneous Spending
2025-04-10 18:22:45,Uber Eats,-45.0,Dinner delivery,Rotterdam,food,Spontaneous Spending
2025-04-15 10:15:30,Spotify,-9.99,Monthly subscription,Utrecht,subscriptions,Spontaneous Spending
2025-04-20 21:05:00,Theater Amsterdam,-70.0,Concert ticket,Amsterdam,entertainment,Spontaneous Spending
2025-05-01 12:00:00,IKEA,-200.3,Home decor,Amsterdam,others,Spontaneous Spending
2025-05-05 09:50:00,Albert Heijn,-60.75,Groceries,Haarlem,groceries,Spontaneous Spending
2025-05-15 15:30:00,H&M,-90.0,New outfits,The Hague,personal,Spontaneous Spending
2025-06-02 19:45:00,Bol.com,-32.5,Book purchase,Amsterdam,others,Spontaneous Spending
2025-06-15 20:00:00,Dinner Club,-100.0,Fine dining,Utrecht,food,Spontaneous Spending
2025-06-25 16:30:00,Fitbit Store,-150.0,Fitness tracker,Amsterdam,health,Spontaneous Spending
2025-04-05 14:32:10,Zara,-89.99,New Outfit,Amsterdam,personal,Main Checking
2025-04-12 19:45:30,Uber Eats,-25.5,Dinner Order,Amsterdam,food,Main Checking
2025-04-15 10:00:00,Spotify,-9.99,Subscription,Amsterdam,subscriptions,Main Checking
2025-04-20 17:30:00,A'DAM Tower,-15.0,Sky Bar,Amsterdam,entertainment,Main Checking
2025-05-01 13:00:00,H&M,-75.0,Fashion Sale,Amsterdam,personal,Main Checking
2025-05-10 11:15:00,Albert Heijn,-60.25,Groceries,Amsterdam,groceries,Main Checking
2025-05-15 20:00:00,Cineworld,-12.5,Movie Ticket,Amsterdam,entertainment,Main Checking
2025-05-22 15:45:00,Bol.com,-29.99,Book Purchase,Amsterdam,others,Main Checking
2025-06-10 09:30:00,FitForFree,-35.0,Gym Membership,Amsterdam,health,Main Checking
2025-06-25 18:00:00,Airbnb,-120.0,Weekend Trip,Amsterdam,others,Main Checking
2025-04-02 14:30:45,Zara,-89.99,New outfit,Amsterdam,clothing,Sofia's Spending
2025-04-10 18:15:23,Starbucks,-4.5,Coffee break,Rotterdam,food,Sofia's Spending
2025-04-15 12:00:00,Spotify,-9.99,Monthly subscription,Utrecht,subscriptions,Sofia's Spending
2025-05-05 20:45:10,Airbnb,-250.0,Weekend getaway,The Hague,entertainment,Sofia's Spending
2025-05-12 19:30:00,Albert Heijn,-35.75,Groceries,Amsterdam,groceries,Sofia's Spending
2025-05-20 16:00:00,Cinema,-15.0,Movie night,Eindhoven,entertainment,Sofia's Spending
2025-06-01 10:00:00,H&M,-49.99,Fashion haul,Amsterdam,clothing,Sofia's Spending
2025-06-10 13:15:00,Uber,-20.0,Ride home,Amsterdam,transport,Sofia's Spending
