Timestamp,Merchant,Amount,Description,Location,Category,Account
2025-04-02 14:30:00,Salary Deposit,4500.0,Monthly salary,Amsterdam,salary,Main Checking
2025-04-10 09:15:00,Supermarket,-75.5,Groceries,Utrecht,groceries,Main Checking
2025-04-15 18:45:00,Netflix,-12.99,Monthly subscription,Amsterdam,subscriptions,Main Checking
2025-04-20 10:00:00,Investment Firm,-3000.0,Stock purchase,Amsterdam,finance,Investment Account
2025-05-01 14:30:00,Salary Deposit,4500.0,Monthly salary,Amsterdam,salary,Main Checking
2025-05-05 16:00:00,Restaurant,-85.75,Dinner out,Rotterdam,food,Main Checking
2025-05-15 11:00:00,Health Insurance,-120.0,Monthly premium,Amsterdam,health,Main Checking
2025-05-20 09:30:00,Stock Trading,1500.0,Dividend income,Amsterdam,finance,Investment Account
2025-06-01 14:30:00,Salary Deposit,4500.0,Monthly salary,Amsterdam,salary,Main Checking
2025-06-15 10:00:00,Bookstore,-30.0,Investment book,Amsterdam,others,Main Checking
2025-04-02 10:15:30,Salary,3500.0,Monthly salary,Amsterdam,salary,Main Income
2025-04-10 14:45:00,Supermarket,-75.5,Groceries,Utrecht,groceries,Daily Expenses
2025-04-15 19:30:00,Netflix,-12.99,Subscription fee,Amsterdam,subscriptions,Entertainment
2025-04-20 09:00:00,Investment Firm,500.0,Dividend payout,Amsterdam,finance,Investment Income
2025-05-05 16:20:00,Market,-200.0,Stock purchase,Rotterdam,others,Investment Account
2025-05-11 11:00:00,Local Café,-25.0,Lunch,Amsterdam,food,Daily Expenses
2025-05-18 15:45:00,Health Insurance,-80.0,Monthly premium,Amsterdam,health,Health Expenses
2025-06-01 08:30:00,Rent Payment,-1200.0,Monthly rent,Amsterdam,rent,Housing
2025-06-15 17:00:00,Investment Broker,750.0,Profit from sale,Amsterdam,finance,Investment Income
2025-06-25 13:30:00,Cinema,-30.0,Movie ticket,Amsterdam,entertainment,Entertainment
2025-04-02 10:15:00,Salary Deposit,4500.0,Monthly Salary,Amsterdam,salary,Main Checking
2025-04-05 12:30:00,IKEA,-150.75,Home Goods,Amsterdam,groceries,Main Checking
2025-04-10 14:45:00,Vanguard Investments,-2000.0,Stock Purchase,Amsterdam,finance,Investment Account
2025-04-15 18:00:00,Restaurant De Kas,-75.5,Dinner Out,Amsterdam,food,Main Checking
2025-04-20 09:00:00,ABN AMRO,-30.0,Bank Fee,Amsterdam,others,Main Checking
2025-05-01 10:00:00,Freelance Project,1200.0,Consulting Income,Amsterdam,salary,Main Checking
2025-05-08 15:30:00,Netflix,-12.99,Monthly Subscription,Amsterdam,subscriptions,Main Checking
2025-05-15 11:45:00,Amazon,-59.99,Books Purchase,Amsterdam,personal,Main Checking
2025-06-01 09:30:00,Tesla,-5000.0,Car Investment,Amsterdam,finance,Investment Account
2025-06-25 16:00:00,Dividend Payment,300.0,Stock Dividends,Amsterdam,finance,Investment Account
2025-04-03 14:30:00,Salary Deposit,3500.0,Monthly salary,Amsterdam,salary,Main Checking
2025-04-10 11:15:00,Grocer Mart,-85.75,Weekly groceries,Utrecht,groceries,Main Checking
2025-04-15 16:00:00,Netflix,-12.99,Monthly subscription,Amsterdam,subscriptions,Main Checking
2025-04-22 09:45:00,Investment Firm,1500.0,Investment return,Amsterdam,finance,Investment Account
