Timestamp,Merchant,Amount,Description,Location,Category,Account
2025-04-02 14:30:00,Salary,2500.0,Monthly income,Utrecht,salary,Main Savings
2025-04-05 10:15:00,Albert Heijn,-45.75,Groceries,Utrecht,groceries,Main Spending
2025-04-10 18:00:00,Zilveren Kruis,-120.0,Health insurance,Utrecht,health,Main Spending
2025-04-15 12:00:00,Netflix,-12.99,Monthly subscription,Utrecht,subscriptions,Main Spending
2025-04-20 09:00:00,H&M,-60.5,Clothing purchase,Utrecht,others,Main Spending
2025-05-01 14:30:00,Salary,2500.0,Monthly income,Utrecht,salary,Main Savings
2025-05-10 17:45:00,Bol.com,-35.99,Book purchase,Utrecht,others,Main Spending
2025-05-15 08:30:00,Utrecht Gym,-40.0,Gym membership,Utrecht,personal,Main Spending
2025-06-01 14:30:00,Salary,2500.0,Monthly income,Utrecht,salary,Main Savings
2025-06-10 19:00:00,Cinema,-25.0,Movie night,Utrecht,entertainment,Main Spending
2025-04-05 10:15:00,Tech Solutions,2500.0,Monthly Salary,Utrecht,salary,Main Savings
2025-04-12 14:30:00,Albert Heijn,-45.75,Groceries,Utrecht,groceries,Main Savings
2025-04-18 19:00:00,Spotify,-9.99,Monthly Subscription,Utrecht,subscriptions,Entertainment Fund
2025-04-25 11:45:00,H&M,-75.5,Clothing Purchase,Utrecht,personal,Main Savings
2025-05-02 08:30:00,Health Clinic,-120.0,Check-up,Utrecht,health,Health Savings
2025-05-10 15:00:00,Restaurant De Pizzabakkers,-65.0,Dinner Out,Utrecht,food,Entertainment Fund
2025-05-15 09:00:00,Transfer to Savings,-500.0,Savings Deposit,Utrecht,finance,Main Savings
2025-06-01 12:00:00,Freelance Project,800.0,Side Income,Utrecht,salary,Side Project Fund
2025-06-10 17:30:00,Bol.com,-32.99,Book Purchase,Utrecht,others,Entertainment Fund
2025-06-25 13:15:00,Monthly Rent,-1200.0,Rent Payment,Utrecht,rent,Main Savings
2025-04-02 14:45:00,TechCorp,2500.0,Monthly Salary,Utrecht,salary,Savings Account
2025-04-05 10:30:00,Albert Heijn,-45.75,Groceries,Utrecht,groceries,Current Account
2025-04-10 18:00:00,H&M,-60.0,Clothing,Utrecht,personal,Current Account
2025-04-15 12:00:00,Utrecht Cinema,-15.5,Movie Ticket,Utrecht,entertainment,Current Account
2025-04-20 09:00:00,HealthPlus,-30.0,Gym Membership,Utrecht,health,Current Account
2025-05-01 14:45:00,TechCorp,2500.0,Monthly Salary,Utrecht,salary,Savings Account
2025-05-05 11:00:00,Bol.com,-120.0,Books Purchase,Utrecht,others,Current Account
2025-05-15 08:30:00,NS,-25.0,Train Ticket,Utrecht,transport,Current Account
2025-06-01 14:45:00,TechCorp,2500.0,Monthly Salary,Utrecht,salary,Savings Account
2025-06-10 17:00:00,Zalando,-90.0,Shoes Purchase,Utrecht,personal,Current Account
2025-04-02 14:30:00,Salary,2500.0,Monthly Salary,Utrecht,salary,savings_account
2025-04-05 10:15:00,Albert Heijn,-45.75,Groceries,Utrecht,groceries,current_account
2025-04-10 18:00:00,Zorgverzekeraar,-120.0,Health Insurance,Utrecht,health,current_account
2025-04-15 12:00:00,Spotify,-9.99,Music Subscription,Utrecht,subscriptions,current_account
2025-04-20 16:45:00,H&M,-75.5,Clothing Purchase,Utrecht,others,current_account
2025-05-01 14:30:00,Salary,2500.0,Monthly Salary,Utrecht,salary,savings_account
2025-05-10 11:00:00,Jumbo,-60.25,Groceries,Utrecht,groceries,current_account
2025-05-15 09:30:00,Netflix,-11.99,Video Subscription,Utrecht,subscriptions,current_account
2025-06-01 14:30:00,Salary,2500.0,Monthly Salary,Utrecht,salary,savings_account
2025-06-20 17:30:00,Fitness Center,-35.0,Gym Membership,Utrecht,health,current_account
2025-04-02 10:30:00,TechCorp,3000.0,Salary,Utrecht,salary,Main Savings
2025-04-05 15:45:00,Albert Heijn,-45.9,Groceries,Utrecht,groceries,Main Account
2025-04-10 12:00:00,Netflix,-12.99,Subscription,Utrecht,subscriptions,Main Account
2025-04-15 18:00:00,Local Cafe,-8.5,Coffee,Utrecht,entertainment,Main Account
