Timestamp,Merchant,Amount,Description,Location,Category,Account
2025-04-02 14:30:00,Albert Heijn,-45.75,Groceries,Amsterdam,groceries,Main Account
2025-04-10 09:15:00,Bol.com,-25.99,Books,Utrecht,others,Main Account
2025-04-15 18:45:00,Kruidvat,-12.5,Health products,Rotterdam,health,Main Account
2025-04-20 12:00:00,Salary April,2500.0,Monthly salary,Amsterdam,salary,Main Account
2025-05-01 11:30:00,Action,-15.75,Household items,Den Haag,others,Main Account
2025-05-10 19:00:00,Filmhuis,-10.0,Movie ticket,Amsterdam,entertainment,Main Account
2025-05-15 08:00:00,Zalando,-35.5,Clothing,Eindhoven,personal,Main Account
2025-05-20 14:00:00,Hema,-20.0,Stationery,Amsterdam,others,Main Account
2025-06-01 16:30:00,Rent June,-800.0,Monthly rent,Amsterdam,rent,Main Account
2025-06-15 09:00:00,Nespresso,-60.0,Coffee subscription,Amsterdam,subscriptions,Main Account
2025-04-02 10:15:30,Albert Heijn,-35.5,Groceries,Amsterdam,groceries,Main Checking
2025-04-05 14:20:45,Bol.com,-12.99,Book purchase,Utrecht,others,Main Checking
2025-04-10 18:30:00,Café de Jaren,-8.75,Coffee outing,Amsterdam,food,Main Checking
2025-04-15 09:00:00,Salary,2500.0,Monthly salary,Amsterdam,salary,Main Checking
2025-04-22 17:45:10,Kruidvat,-15.5,Health products,Amsterdam,health,Main Checking
2025-05-01 12:30:00,Action,-22.3,Home supplies,Amsterdam,groceries,Main Checking
2025-05-10 20:00:00,Spotify,-9.99,Music subscription,Amsterdam,subscriptions,Main Checking
2025-05-15 11:15:30,HEMA,-5.0,Stationery,Amsterdam,others,Main Checking
2025-06-01 14:00:00,Zalando,-49.99,Clothing purchase,Amsterdam,personal,Main Checking
2025-06-25 16:45:00,Rent,-1200.0,Monthly rent,Amsterdam,rent,Main Checking
2025-04-03 14:30:00,Albert Heijn,-25.5,Groceries,Amsterdam,groceries,Fatima's Checking
2025-04-10 09:15:00,HEMA,-15.75,Stationery,Rotterdam,others,Fatima's Checking
2025-04-12 18:45:00,Coolblue,-120.0,Electronics,Utrecht,entertainment,Fatima's Checking
2025-04-15 12:00:00,Zalando,-45.99,Clothing,Amsterdam,personal,Fatima's Checking
2025-04-20 08:00:00,H&M,-30.0,Fashion,The Hague,personal,Fatima's Checking
2025-05-01 17:30:00,School Salary,2500.0,Monthly Salary,Amsterdam,salary,Fatima's Checking
2025-05-10 19:00:00,IKEA,-200.0,Furniture,Amsterdam,others,Fatima's Checking
2025-05-15 22:00:00,Netflix,-11.99,Subscription,Amsterdam,subscriptions,Fatima's Checking
2025-06-01 13:15:00,Bol.com,-45.0,Books,Amsterdam,others,Fatima's Checking
2025-06-25 11:00:00,Ahold,-35.4,Groceries,Eindhoven,groceries,Fatima's Checking
2025-04-02 14:30:00,Albert Heijn,-25.75,Groceries,Amsterdam,groceries,Main Account
2025-04-05 09:15:00,Bol.com,-15.99,Books,Utrecht,others,Main Account
2025-04-10 11:00:00,H&M,-45.5,Clothing,Rotterdam,personal,Main Account
2025-04-12 18:20:00,HEMA,-7.5,Stationery,The Hague,others,Main Account
2025-05-01 10:00:00,DHL,-5.0,Shipping,Amsterdam,others,Main Account
2025-05-10 17:45:00,NS,-12.8,Train Ticket,Amsterdam,transport,Main Account
