Timestamp,Merchant,Amount,Description,Location,Category,Account
2025-04-03 15:30:00,Salary,3000.0,Monthly salary,Amsterdam,salary,Main Account
2025-04-07 12:45:00,Albert Heijn,-45.75,Groceries,Amsterdam,groceries,Main Account
2025-04-15 18:00:00,Cinema,-12.5,Movie night,Amsterdam,entertainment,Main Account
2025-04-20 09:00:00,Zalando,-75.0,Clothing,Amsterdam,others,Main Account
2025-05-01 15:30:00,Salary,3000.0,Monthly salary,Amsterdam,salary,Main Account
2025-05-05 11:30:00,Hema,-25.5,Home essentials,Amsterdam,groceries,Main Account
2025-05-10 19:00:00,Restaurant,-35.0,Dinner out,Amsterdam,food,Main Account
2025-05-15 10:00:00,Spotify,-9.99,Monthly subscription,Amsterdam,subscriptions,Main Account
2025-06-01 15:30:00,Salary,3000.0,Monthly salary,Amsterdam,salary,Main Account
2025-06-10 14:00:00,Yoga Studio,-80.0,Yoga classes,Amsterdam,health,Main Account
2025-04-03 14:30:00,Salary Inc.,3500.0,Monthly salary,Amsterdam,salary,Main Account
2025-04-10 18:15:00,Albert Heijn,-45.75,Groceries,Amsterdam,groceries,Main Account
2025-04-15 12:00:00,Cinema City,-12.5,Movie ticket,Amsterdam,entertainment,Main Account
2025-04-20 09:00:00,Health Clinic,-60.0,Check-up,Amsterdam,health,Main Account
2025-05-01 14:30:00,Salary Inc.,3500.0,Monthly salary,Amsterdam,salary,Main Account
2025-05-05 19:45:00,Diner Delight,-35.0,Dinner out,Amsterdam,food,Main Account
2025-05-15 10:30:00,Spotify,-9.99,Monthly subscription,Amsterdam,subscriptions,Main Account
2025-05-22 16:00:00,Bike Shop,-150.0,Bike maintenance,Amsterdam,others,Main Account
2025-06-01 14:30:00,Salary Inc.,3500.0,Monthly salary,Amsterdam,salary,Main Account
2025-06-28 11:00:00,Park Visit,-5.0,Park entry,Amsterdam,entertainment,Main Account
2025-04-03 14:00:00,H&M,-45.5,New shirt,Amsterdam,clothing,Main Account
2025-04-10 12:30:00,IKEA,-120.0,Minimalist decor,Amsterdam,home,Main Account
2025-04-15 09:00:00,Salary,3500.0,Monthly salary,Amsterdam,salary,Main Account
2025-04-20 18:00:00,Albert Heijn,-35.75,Groceries,Amsterdam,groceries,Main Account
2025-05-05 20:00:00,Cinema,-15.0,Movie night,Amsterdam,entertainment,Main Account
2025-05-12 10:00:00,Spotify,-9.99,Monthly subscription,Amsterdam,subscriptions,Main Account
2025-05-20 16:45:00,Baker,-3.5,Fresh bread,Amsterdam,food,Main Account
2025-06-01 12:00:00,Airbnb,-250.0,Weekend getaway,Utrecht,others,Main Account
2025-06-15 09:30:00,Health Clinic,-75.0,Check-up,Amsterdam,health,Main Account
2025-06-28 11:00:00,Picnic,-20.0,Online groceries,Amsterdam,groceries,Main Account
2025-04-02 14:15:00,Salary Deposit,3500.0,Monthly salary,Amsterdam,salary,Main Account
2025-04-07 18:30:00,Albert Heijn,-45.2,Groceries,Amsterdam,groceries,Main Account
